Date,Adj Close,Open,High,Low,Change %
23-Mar-15,119.73,120.05,120.17,119.57,-0.25%
24-Mar-15,119.75,119.71,120,119.21,0.02%
25-Mar-15,119.5,119.75,119.85,119.22,-0.21%
26-Mar-15,119.2,119.48,119.59,118.3,-0.25%
27-Mar-15,119.14,119.18,119.53,118.91,-0.05%
30-Mar-15,120.08,119.12,120.23,119.09,0.79%
31-Mar-15,120.14,120.06,120.38,119.76,0.05%
1-Apr-15,119.77,120.1,120.34,119.4,-0.31%
2-Apr-15,119.72,119.76,119.91,119.42,-0.04%
3-Apr-15,118.97,119.71,119.8,118.69,-0.63%
6-Apr-15,119.53,118.93,119.69,118.77,0.47%
7-Apr-15,120.28,119.52,120.45,119.41,0.63%
8-Apr-15,120.14,120.24,120.36,119.62,-0.12%
9-Apr-15,120.59,120.12,120.76,119.83,0.37%
10-Apr-15,120.22,120.59,120.64,120.03,-0.31%
13-Apr-15,120.14,120.19,120.88,119.74,-0.07%
14-Apr-15,119.39,120.1,120.19,119.04,-0.62%
15-Apr-15,119.15,119.39,119.76,118.76,-0.20%
16-Apr-15,119.01,119.15,119.49,118.77,-0.12%
17-Apr-15,118.92,118.99,119.28,118.54,-0.08%
20-Apr-15,119.2,118.8,119.45,118.51,0.24%
21-Apr-15,119.67,119.14,119.83,119.14,0.39%
22-Apr-15,119.92,119.65,119.97,119.32,0.21%
23-Apr-15,119.58,119.91,120.11,119.4,-0.28%
24-Apr-15,118.98,119.58,119.67,118.8,-0.50%
27-Apr-15,119.04,118.98,119.44,118.75,0.05%
28-Apr-15,118.86,119,119.22,118.75,-0.15%
29-Apr-15,119.04,118.82,119.38,118.58,0.15%
30-Apr-15,119.36,118.98,119.92,118.47,0.27%
1-May-15,120.17,119.37,120.3,119.34,0.68%
4-May-15,120.14,120.15,120.31,119.97,-0.02%
5-May-15,119.85,120.1,120.54,119.71,-0.24%
6-May-15,119.47,119.84,120.08,119.18,-0.32%
7-May-15,119.73,119.43,119.86,119.03,0.22%
8-May-15,119.81,119.72,120.25,119.58,0.07%
11-May-15,120.08,119.65,120.17,119.43,0.23%
12-May-15,119.86,120.07,120.28,119.76,-0.18%
13-May-15,119.16,119.86,119.99,119.01,-0.58%
14-May-15,119.17,119.15,119.38,118.86,0.01%
15-May-15,119.29,119.13,119.95,119.13,0.10%
18-May-15,119.99,119.25,120.04,119.22,0.59%
19-May-15,120.69,119.98,120.73,119.8,0.58%
20-May-15,121.36,120.68,121.48,120.56,0.56%
21-May-15,121.04,121.31,121.4,120.82,-0.26%
22-May-15,121.55,121.02,121.58,120.61,0.42%
25-May-15,121.56,121.48,121.78,121.42,0.01%
26-May-15,123.11,121.55,123.34,121.48,1.28%
27-May-15,123.67,123.05,124.08,122.76,0.45%
28-May-15,123.95,123.61,124.47,123.47,0.23%
29-May-15,124.14,123.95,124.22,123.58,0.15%
1-Jun-15,124.78,124.1,124.93,123.85,0.52%
2-Jun-15,124.11,124.76,125.06,123.74,-0.54%
